station,project,lat,lon,building
ABS,Mimer|SF6,55.24897717621565,10.168947284915516,True
AGSN,Mimer,57.00612776738896,9.292660601900172,False
AGSS,Mimer,56.995613,9.298182,False
AHA,Mimer,56.59584,11.15292,False
ALL,SF6,55.884878233653104,12.3392910493714,True
AMK,SF6,55.641116488796406,12.608519187700184,True
AMV,Mimer|SF6,55.685545734422966,12.625896898422733,True
AND,Mimer|SF6,55.47173636479523,9.24573933100795,True
ASP,SF6,56.421855,10.896146,True
ASR,Mimer|SF6,55.93023586641711,9.182982398429967,True
ASV,Mimer|SF6,55.660327527264,11.079625298422028,True
AVV,Mimer,55.60375484137944,12.48101369842036,True
BBR,SF6,55.05331047214313,8.837181637662235,True
BDK,SF6,57.45076391398053,10.02686274948616,True
BDR,Mimer|SF6,55.5098795631491,9.460224540747207,True
BED,Mimer|SF6,56.811194,8.416021,True
BEL,Mimer,55.70489297830697,12.519474454690418,True
BJS,Mimer|SF6,55.45044527115461,12.007602027250998,True
BLA,Mimer|SF6,55.16805448461439,11.901263440737177,True
BMS,Mimer|SF6,56.66244995413261,9.884778317644995,True
BOR,Mimer|SF6,55.908101310805975,12.17695472726452,True
BOS,Mimer,54.783838,11.690114,True
BRY,Mimer|SF6,55.63129628261439,12.409195280939317,True
BUB,Mimer,57.12620573086533,9.06604999846568,True
DYB,SF6,57.28736180080764,10.3790828630793,True
DYR,SF6,55.72812124999961,12.397214473437286,True
EBY,SF6,55.68578426593278,12.397316397208083,True
EDR,Mimer|SF6,55.53213134714707,8.70511181191268,True
ENB,SF6,56.56769008835242,8.201813089445306,True
ESK,SF6,54.848198953561024,11.893360204320413,True
FER,Mimer|SF6,56.9563548351982,9.879868625449458,True
FGD,Mimer|SF6,55.36669932932376,10.505877783072592,True
FGV,SF6,55.3642971520579,10.484899760064812,True
FNM,SF6,55.27387895196942,11.8201028420732,True
FOU,Mimer|SF6,56.483605,9.570843,True
FRD,SF6,57.11374084494889,9.502137571667763,True
FVO,SF6,55.42689714033781,10.405549010066617,True
GAT,Mimer,55.483314,9.18256,True
GLN,Mimer|SF6,55.752140023150176,12.497850250185904,True
GRN,SF6,55.73516524306082,12.463444366574786,True
GRP,SF6,55.47225065645623,10.001868527008124,True
GST,Mimer|SF6,57.00719714088262,10.005536354286155,False
GØR,Mimer|SF6,55.89421215243034,12.199579394878503,True
HAE,Mimer|SF6,55.17057557483987,14.723108921875,True
HASV,SF6,56.16487530098552,10.15000040521866,True
HAT,SF6,55.862035,9.751935,True
HCV,Mimer,55.65655758549938,12.554286788336745,True
HEJ,SF6,55.40088211963205,11.295847958474424,True
HER,SF6,56.14045764040354,8.935869164753726,True
HKS,Mimer|SF6,55.53200873122854,11.316525337307484,True
HLA,Mimer,55.53529782341641,9.668976769583145,False
HMA,SF6,55.33367274444237,11.741895164321706,True
HNB,Mimer|SF6,56.46839084502971,9.981542327380412,True
HOD,SF6,55.51933834555199,8.916218063595814,True
HON,SF6,56.075115,10.031307,True
HSKØ,SF6,55.748010183727885,12.3995793730655,True
HST,SF6,55.669686,12.371633,True
HVE,Mimer|SF6,55.732441,12.23304,True
IDU,SF6,56.35165502615366,8.55459673708564,True
ISH,Mimer|SF6,55.63269969740695,12.319924354551542,True
